"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch"
"1114",229,"Edwards, James","James Edwards",FALSE,1977,1995,"james_edwards",0,"","","","","Y","00"
"1115",76643,"Edwards, Jay","Jay Edwards",FALSE,1989,1989,"HISTADD_jay_edwards",0,"","","","","Y","00"
"1116",2823,"Edwards, John","John Edwards",FALSE,2004,2005,"john_edwards",0,"","","","","Y","01"
"1117",236,"Edwards, Kevin","Kevin Edwards",FALSE,1988,2000,"kevin_edwards",0,"","","","","Y","00"
"1118",202197,"Edwards, Shane","Shane Edwards",FALSE,2013,2013,"shane_edwards",0,"","","","","Y","01"
"1119",1629053,"Edwards, Vincent","Vincent Edwards",FALSE,2018,2019,"vincent_edwards",0,"","","","","Y","01"
"1120",76647,"Egan, Johnny","Johnny Egan",FALSE,1961,1971,"HISTADD_johnny_egan",0,"","","","","Y","00"
"1121",76648,"Eggleston, Lonnie","Lonnie Eggleston",FALSE,1948,1948,"HISTADD_lonnie_eggleston",0,"","","","","Y","00"
"1122",76649,"Ehlers, Eddie","Eddie Ehlers",FALSE,1947,1948,"HISTADD_bulbs_ehlers",0,"","","","","Y","00"
"1123",378,"Ehlo, Craig","Craig Ehlo",FALSE,1983,1996,"craig_ehlo",0,"","","","","Y","00"
"1124",76651,"Eichhorst, Dick","Dick Eichhorst",FALSE,1961,1961,"HISTADD_dick_eichhorst",0,"","","","","Y","00"
"1125",458,"Eisley, Howard","Howard Eisley",FALSE,1994,2005,"howard_eisley",0,"","","","","Y","00"
"1126",1918,"Ekezie, Obinna","Obinna Ekezie",FALSE,1999,2004,"obinna_ekezie",0,"","","","","Y","00"
"1127",2064,"El-Amin, Khalid","Khalid El-Amin",FALSE,2000,2002,"khalid_el-amin",0,"","","","","Y","00"
"1128",76653,"Eliason, Don","Don Eliason",FALSE,1946,1946,"HISTADD_don_eliason",0,"","","","","Y","00"
"1129",53,"Elie, Mario","Mario Elie",FALSE,1990,2000,"mario_elie",0,"","","","","Y","00"
"1130",76655,"Ellefson, Ray","Ray Ellefson",FALSE,1948,1950,"HISTADD_ray_ellefson",0,"","","","","Y","00"
"1131",1627740,"Ellenson, Henry","Henry Ellenson",FALSE,2016,2019,"henry_ellenson",0,"","","","","Y","01"
"1132",201961,"Ellington, Wayne","Wayne Ellington",TRUE,2009,2019,"wayne_ellington",1610612751,"Brooklyn","Nets","BKN","nets","Y","00"
"1133",76656,"Elliott, Bob","Bob Elliott",FALSE,1978,1980,"HISTADD_bob_elliott",0,"","","","","Y","00"
"1134",251,"Elliott, Sean","Sean Elliott",FALSE,1989,2000,"sean_elliott",0,"","","","","Y","00"
"1135",76658,"Ellis, Alexander","Alexander Ellis",FALSE,1958,1959,"HISTADD_boo_ellis",0,"","","","","Y","00"
"1136",76664,"Ellis, Bo","Bo Ellis",FALSE,1977,1979,"HISTADD_bo_ellis",0,"","","","","Y","00"
"1137",107,"Ellis, Dale","Dale Ellis",FALSE,1983,1999,"dale_ellis",0,"","","","","Y","00"
"1138",1677,"Ellis, Harold","Harold Ellis",FALSE,1993,1997,"harold_ellis",0,"","","","","Y","00"
"1139",76661,"Ellis, Joe","Joe Ellis",FALSE,1966,1973,"HISTADD_joe_ellis",0,"","","","","Y","00"
"1140",111,"Ellis, LaPhonso","LaPhonso Ellis",FALSE,1992,2002,"laphonso_ellis",0,"","","","","Y","00"
"1141",1034,"Ellis, LeRon","LeRon Ellis",FALSE,1991,1995,"leron_ellis",0,"","","","","Y","00"
"1142",76663,"Ellis, Leroy","Leroy Ellis",FALSE,1962,1975,"HISTADD_leroy_ellis",0,"","","","","Y","00"
"1143",101145,"Ellis, Monta","Monta Ellis",TRUE,2005,2016,"monta_ellis",1610612754,"Indiana","Pacers","IND","pacers","Y","00"
"1144",442,"Ellison, Pervis","Pervis Ellison",FALSE,1989,2000,"pervis_ellison",0,"","","","","Y","00"
"1145",600010,"Elmore, Len","Len Elmore",FALSE,1976,1983,"HISTADD_len_elmore",0,"","","","","Y","00"
"1146",1922,"Elson, Francisco","Francisco Elson",FALSE,2003,2011,"francisco_elson",0,"","","","","Y","00"
"1147",76667,"Elston, Darrell","Darrell Elston",FALSE,1976,1976,"HISTADD_darrell_elston",0,"","","","","Y","00"
"1148",2408,"Ely, Melvin","Melvin Ely",FALSE,2002,2013,"melvin_ely",0,"","","","","Y","01"
"1149",203954,"Embiid, Joel","Joel Embiid",TRUE,2014,2019,"joel_embiid",1610612755,"Philadelphia","76ers","PHI","sixers","Y","00"
"1150",76668,"Embry, Wayne","Wayne Embry",FALSE,1958,1968,"HISTADD_wayne_embry",0,"","","","","Y","00"
"1151",2765,"Emmett, Andre","Andre Emmett",FALSE,2004,2011,"andre_emmett",0,"","","","","Y","01"
"1152",76669,"Endress, Ned","Ned Endress",FALSE,1946,1946,"HISTADD_ned_endress",0,"","","","","Y","00"
"1153",76670,"Engler, Chris","Chris Engler",FALSE,1982,1987,"HISTADD_chris_engler",0,"","","","","Y","00"
"1154",76671,"Englestad, Wayne","Wayne Englestad",FALSE,1988,1988,"HISTADD_wayne_englestad",0,"","","","","Y","00"
"1155",76672,"English, A.J.","A.J. English",FALSE,1990,1991,"HISTADD_aj_english",0,"","","","","Y","00"
"1156",76673,"English, Alex","Alex English",FALSE,1976,1990,"HISTADD_alex_english",0,"","","","","Y","00"
"1157",76674,"English, Claude","Claude English",FALSE,1970,1970,"HISTADD_claude_english",0,"","","","","Y","00"
"1158",76676,"English, Jojo","Jojo English",FALSE,1992,1994,"HISTADD_jo_jo_english",0,"","","","","Y","00"
"1159",203119,"English, Kim","Kim English",FALSE,2012,2012,"kim_english",0,"","","","","Y","01"
"1160",76675,"English, Scott","Scott English",FALSE,1972,1972,"HISTADD_scott_english",0,"","","","","Y","00"
"1161",76677,"Englund, Gene","Gene Englund",FALSE,1949,1949,"HISTADD_gene_englund",0,"","","","","Y","00"
"1162",203898,"Ennis, Tyler","Tyler Ennis",TRUE,2014,2017,"tyler_ennis",1610612749,"Milwaukee","Bucks","MIL","bucks","Y","01"
"1163",203516,"Ennis III, James","James Ennis III",TRUE,2014,2019,"james_ennis iii",1610612740,"New Orleans","Pelicans","NOP","pelicans","Y","11"
